at,response_time,name_lookup_time,connection_time,tls_handshake_time,data_transfer_time,region,data_particao
2025-12-18T04:03:10.000Z,0.30028,3e-05,0.00104,0.02373,0.27548,as,2025-11-17
2025-12-18T04:23:05.000Z,0.22684,2e-05,0.00175,0.01956,0.20552,as,2025-11-17
2025-12-18T04:43:02.000Z,0.22195,2e-05,0.00096,0.02197,0.199,as,2025-11-17
2025-12-18T05:03:04.000Z,0.30469,3e-05,0.00104,0.01633,0.28729,as,2025-11-17
2025-12-18T05:23:10.000Z,0.28863,2e-05,0.00153,0.01761,0.26948,as,2025-11-17
2025-12-18T05:43:07.000Z,0.55308,2e-05,0.05244,0.29481,0.20581,as,2025-11-17
2025-12-18T06:03:00.000Z,0.23217,4e-05,0.00404,0.02075,0.20734,as,2025-11-17
2025-12-18T06:23:05.000Z,0.4522,3e-05,0.00166,0.01766,0.43286,as,2025-11-17
2025-12-18T06:43:12.000Z,0.4514,3e-05,0.00624,0.18218,0.26294,as,2025-11-17
2025-12-18T07:03:06.000Z,0.32306,0.00012,0.00127,0.01798,0.30369,as,2025-11-17
2025-12-18T07:23:01.000Z,0.39261,3e-05,0.00128,0.04734,0.34395,as,2025-11-17
2025-12-18T07:43:05.000Z,0.50844,2e-05,0.00145,0.01767,0.4893,as,2025-11-17
2025-12-18T08:03:09.000Z,0.30289,3e-05,0.00104,0.01537,0.28645,as,2025-11-17
2025-12-18T08:23:04.000Z,0.40684,3e-05,0.0013,0.01833,0.38718,as,2025-11-17
2025-12-18T08:43:03.000Z,0.66723,3e-05,0.00126,0.23274,0.43319,as,2025-11-17
2025-12-18T09:03:04.000Z,0.28442,0.00012,0.00145,0.02712,0.25572,as,2025-11-17
2025-12-18T09:23:10.000Z,0.45852,4e-05,0.00151,0.16756,0.28942,as,2025-11-17
2025-12-18T09:43:08.000Z,0.30836,2e-05,0.00166,0.07973,0.22695,as,2025-11-17
2025-12-18T10:03:04.000Z,0.25228,3e-05,0.00109,0.01633,0.23483,as,2025-11-17
2025-12-18T10:23:02.000Z,0.58746,2e-05,0.06834,0.02908,0.49002,as,2025-11-17
2025-12-18T10:43:08.000Z,0.34205,2e-05,0.0011,0.08698,0.25394,as,2025-11-17
2025-12-18T11:03:07.000Z,0.22391,2e-05,0.00102,0.01658,0.2063,as,2025-11-17
2025-12-18T11:23:03.000Z,0.21309,3e-05,0.00146,0.0162,0.1954,as,2025-11-17
2025-12-18T11:43:03.000Z,0.38933,2e-05,0.05542,0.05125,0.28264,as,2025-11-17
2025-12-18T12:03:08.000Z,0.30302,3e-05,0.00148,0.02,0.28151,as,2025-11-17
2025-12-18T12:23:07.000Z,0.21472,3e-05,0.00122,0.01657,0.1969,as,2025-11-17
2025-12-18T12:43:05.000Z,0.4328,3e-05,0.00565,0.07605,0.35108,as,2025-11-17
2025-12-18T13:03:01.000Z,0.29042,0.0001,0.00742,0.01839,0.26452,as,2025-11-17
2025-12-18T13:23:08.000Z,0.31587,3e-05,0.00114,0.0493,0.2654,as,2025-11-17
2025-12-18T13:43:03.000Z,0.32032,2e-05,0.00415,0.12449,0.19165,as,2025-11-17
2025-12-18T14:03:05.000Z,0.35596,2e-05,0.01266,0.05729,0.28599,as,2025-11-17
2025-12-18T14:23:01.000Z,0.28997,3e-05,0.00128,0.0224,0.26625,as,2025-11-17
2025-12-18T14:43:10.000Z,0.35735,3e-05,0.0015,0.10768,0.24814,as,2025-11-17
2025-12-18T15:03:02.000Z,0.22106,8e-05,0.00105,0.01721,0.20273,as,2025-11-17
2025-12-18T15:23:07.000Z,0.50802,2e-05,0.0023,0.30337,0.20233,as,2025-11-17
2025-12-18T15:43:03.000Z,0.45702,2e-05,0.00131,0.16506,0.29063,as,2025-11-17
2025-12-18T16:03:08.000Z,0.28399,3e-05,0.00169,0.02091,0.26136,as,2025-11-17
2025-12-18T16:23:02.000Z,0.24091,2e-05,0.00324,0.0366,0.20105,as,2025-11-17
2025-12-18T16:43:06.000Z,0.44821,4e-05,0.01727,0.11566,0.31524,as,2025-11-17
2025-12-18T17:03:01.000Z,0.27974,3e-05,0.00146,0.01976,0.25848,as,2025-11-17
2025-12-18T17:23:08.000Z,0.33254,4e-05,0.00103,0.02029,0.31118,as,2025-11-17
2025-12-18T17:43:03.000Z,0.55135,1e-05,0.09205,0.12091,0.33838,as,2025-11-17
2025-12-18T18:03:06.000Z,0.21912,2e-05,0.00132,0.01639,0.20138,as,2025-11-17
2025-12-18T18:23:02.000Z,0.27262,2e-05,0.00154,0.01952,0.25153,as,2025-11-17
2025-12-18T18:43:09.000Z,0.77662,2e-05,0.0017,0.38689,0.38801,as,2025-11-17
2025-12-18T19:03:02.000Z,0.23239,2e-05,0.00157,0.01889,0.2119,as,2025-11-17
2025-12-18T19:23:06.000Z,0.21981,3e-05,0.00091,0.01617,0.2027,as,2025-11-17
2025-12-18T19:43:02.000Z,0.53851,2e-05,0.03402,0.08599,0.41848,as,2025-11-17
2025-12-18T20:03:08.000Z,0.38786,2e-05,0.00506,0.11848,0.2643,as,2025-11-17
